method,precision,recall,f1,f1_ci_low,f1_ci_high,false_flags_per_100_healthy_runs,mean_detection_delay_steps,mean_overhead_ms_per_run
retry_limit,0.6,0.6,0.6,0.5263157894736842,0.6625265392781317,100.0,1,0.0014738523809523
exact_only,1.0,0.2,0.3333333333333333,0.2427658083727448,0.4134800295857987,0.0,0,3.830461742857143
L1_L2,1.0,0.4,0.5714285714285715,0.4861760063141278,0.6476447876447875,0.0,0,3.476728766666666
L1_L3,1.0,0.6,0.7499999999999999,0.6816143497757847,0.8077040816326531,0.0,0,3.0174404523809524
L1_L4,1.0,0.8,0.888888888888889,0.8455223193741371,0.927033555637242,0.0,0,2.6124884714285717
full,1.0,1.0,1.0,1.0,1.0,0.0,0,2.5735343619047617
